KPI Name,Business Definition,Formula,Target,Source,Frequency,Interpretation,Potential Caveats
Gross Sales,"Signed sales value before discounts, including returns.",SUM(FactSalesWeekly[GrossSales]),No fixed target,FactSalesWeekly,Weekly,Compare with net sales to understand discount funding.,Legitimate return reversals remain in scope.
Net Sales,Signed commercial sales after discounts and returns.,SUM(FactSalesWeekly[NetSales]),Store sales plan,FactSalesWeekly,Weekly,Primary recorded commercial outcome.,Covers the selected assortment rather than every retailer product.
Sales Target Attainment,Recorded net sales as a share of aligned store-week targets.,Net Sales / SUM(FactStoreTargets[NetSalesTarget]),100%,FactSalesWeekly; FactStoreTargets,Weekly,Below 100% indicates a gap to management plan.,"Targets are not allocated to product, category or supplier."
Gross Profit,Recorded net sales less cost of goods sold.,SUM(NetSales) - SUM(CostOfGoodsSold),No fixed absolute target,FactSalesWeekly,Weekly,Measures the gross commercial contribution of the scoped range.,Excludes operating costs and promotional funding adjustments.
Gross Margin,Gross profit as a share of recorded net sales.,SUM(GrossProfit) / SUM(NetSales),29%,FactSalesWeekly,Weekly,A declining margin can accompany rising sales.,Category and promotion mix affect comparisons.
Effective Discount Rate,Recorded discounts as a share of gross sales.,SUM(DiscountAmount) / SUM(GrossSales),Monitor by campaign,FactSalesWeekly,Weekly,Shows the realised commercial price concession.,Cannot establish incremental campaign ROI.
Demand-Weighted Availability,Fulfilled tracked demand as a share of expected tracked demand.,SUM(FulfilledDemandUnits) / SUM(ExpectedDemandUnits),94%,FactInventoryWeekly,Weekly,Weighting prevents low-volume products from dominating.,Only covers the tracked product range; expected demand is modelled.
Availability Gap,Difference between observed weighted availability and management target.,Demand-Weighted Availability - 94%,At least zero,FactInventoryWeekly; FactStoreTargets,Weekly,Shows percentage-point performance against the reference.,A green total can hide weak supplier-region slices.
Estimated Lost Sales,Capture-adjusted modelled sales missed when tracked demand is unfulfilled.,SUM(EstimatedLostSales),Minimise,FactInventoryWeekly,Weekly,Sizes the commercial exposure rather than just the shortage rate.,Estimated; assumes category-specific demand capture factors.
Estimated Lost Gross Profit,Capture-adjusted gross profit associated with modelled lost demand.,SUM(EstimatedLostGrossProfit),Minimise,FactInventoryWeekly,Weekly,Shows approximate contribution exposure before intervention costs.,"Estimated; excludes spoilage, transfers and execution cost."
Supplier Fill Rate,Received supplier order units as a share of ordered units.,SUM(ReceivedUnits) / SUM(OrderedUnits),95%,FactPurchaseOrders,Weekly,Order-weighted view of delivery completeness.,Describes observed orders; does not explain why units were short.
On-Time Delivery,Purchase orders received no later than their promised date.,COUNT(OnTimeFlag=TRUE) / COUNT(PurchaseOrderID),93%,FactPurchaseOrders,Weekly,Measures delivery reliability at order grain.,An early or on-time order may still be short.
Stockout Hours,Estimated hours of shelf unavailability within the tracked week.,SUM(StockoutHours),Minimise,FactInventoryWeekly,Weekly,Supports operational exception investigation.,Estimated from the fulfilled-demand ratio and trading-hour assumption.
Top-10 Product Loss Share,Share of estimated lost sales explained by the ten highest-loss products.,Top-10 product estimated lost sales / all tracked estimated lost sales,Monitor concentration,FactInventoryWeekly; DimProducts,Weekly,Identifies whether a targeted product intervention is sensible.,Ranking changes with the selected filter scope.
Supplier Loss Contribution,Supplier share of total estimated tracked-range missed sales.,Supplier estimated lost sales / all supplier estimated lost sales,Monitor concentration,FactInventoryWeekly; DimSuppliers,Weekly,Identifies financially material supplier exposure.,Association should not be treated as proven causation.
Illustrative Recoverable Sales,Scenario-based portion of modelled missed sales assumed operationally recoverable.,Estimated Lost Sales × 58%,Scenario assumption,FactInventoryWeekly,Review cycle,Translates exposure into a cautious discussion scenario.,Not a forecast; 58% must be replaced with measured intervention performance.
Illustrative Recoverable Gross Profit,Scenario-based portion of modelled gross-profit exposure assumed recoverable.,Estimated Lost Gross Profit × 58%,Scenario assumption,FactInventoryWeekly,Review cycle,Shows approximate gross-profit discussion potential.,"Excludes recovery cost, working capital and execution constraints."
