SupplierID,SupplierName,SupplierCity,SupplierRegion,ContractFillRate,ContractOnTimeRate,ContractLeadDays,TemperatureBand
SUP001,Karoo Milling Cooperative,Bloemfontein,Free State,0.943,0.931,4,Ambient
SUP002,North Coast Cold Stores,Durban,KwaZulu-Natal,0.921,0.904,3,Chilled
SUP003,Cape Orchard & Press,Paarl,Western Cape,0.956,0.946,4,Ambient
SUP004,Highveld Homecare Works,Johannesburg,Gauteng,0.949,0.928,5,Ambient
SUP005,Lowveld Personal Care,Mbombela,Mpumalanga,0.935,0.914,5,Ambient
SUP006,Drakensberg Breakfast Foods,Pietermaritzburg,KwaZulu-Natal,0.952,0.938,4,Ambient
SUP007,Midlands Fresh Logistics,Howick,KwaZulu-Natal,0.938,0.916,3,Chilled
SUP008,Estuary Import Merchants,Gqeberha,Eastern Cape,0.907,0.881,7,Ambient
SUP009,Stellenridge Beverage Co.,Stellenbosch,Western Cape,0.966,0.952,4,Ambient
SUP010,Bayline Household Supply,East London,Eastern Cape,0.928,0.902,6,Ambient
SUP011,Savanna Brand Partners,Pretoria,Gauteng,0.942,0.919,5,Ambient
SUP012,Peninsula Ambient Foods,Cape Town,Western Cape,0.961,0.949,4,Ambient
