issue,table,records_affected,detection_method,cleaning_decision,business_rule,final_treatment
Mixed ISO and day-first date formats,FactSalesWeekly,226,Regex profile and parsed-date exception check,Parse known ISO and DD/MM/YYYY patterns explicitly,Reporting week is always a valid Monday,Converted every recoverable date to ISO YYYY-MM-DD
Trailing whitespace in store keys,FactSalesWeekly,181,Compare key length and stripped key to store master,Trim leading and trailing whitespace before joins,Valid store keys follow ST plus three digits,Keys normalised and matched to DimStores
Discount percentages delivered as text,FactSalesWeekly,114,Type profile and trailing-percent regex,Strip percent sign and divide by 100,DiscountRate must be a decimal between 0 and 0.60,Parsed to decimal; source financial amounts retained
Missing transaction unit costs,FactSalesWeekly,31,Null scan and product-master lookup,Recover from CostOfGoodsSold divided by Units,Recorded transaction totals take priority over standard product costs,Restored unit cost without changing transaction totals
Blank promotion descriptions on non-promoted rows,FactSalesWeekly,149,Null scan checked against zero discount,Assign No promotion only when DiscountRate equals zero,A missing promotion label never implies a discount,Filled non-promoted blanks; no value changes
Store keys absent from approved store master,FactSalesWeekly,19,Left anti-join to DimStores,Quarantine rows; do not guess store identity,Commercial reporting includes approved mapped stores only,Excluded from clean fact and saved to quarantine_sales.csv
Product keys absent from approved assortment,FactSalesWeekly,13,Left anti-join to DimProducts,Quarantine rows; product identity cannot be recovered reliably,Measures exclude unapproved or unmapped products,Excluded from clean fact and saved to quarantine_sales.csv
Exact repeated sales extracts,FactSalesWeekly,137,Duplicate SalesRecordID plus row-hash comparison,Retain first identical record; investigate conflicting duplicates,SalesRecordID must be unique,Removed exact duplicate extract records
Repeated inventory snapshot rows,FactInventoryWeekly,83,Duplicate InventoryRecordID and full-row comparison,Retain first identical inventory record,One approved snapshot per inventory record ID,Removed repeated weekly snapshot records
Whitespace in inventory store keys,FactInventoryWeekly,96,Compare source key against trimmed store master,"Trim before supplier, store and product joins",Inventory scope must match an approved store,Normalised keys and validated all relationships
Inconsistent category labels in product master,DimProducts,16,Distinct category profile against six approved categories,Apply controlled category crosswalk,Category labels must match the approved trading hierarchy,Mapped all variants to one canonical category
Missing supplier mappings in product master,DimProducts,3,Null scan and supplier match from approved product crosswalk,Recover supplier from controlled ProductID crosswalk,Every product has exactly one primary supplier,Restored mappings and validated supplier referential integrity
Duplicate product master records with spacing differences,DimProducts,4,Duplicate ProductID after whitespace normalisation,Keep the first approved master record,ProductID is the unique product dimension key,Collapsed duplicate product master records
Region naming variants in store master,DimStores,7,Distinct-value audit against regional hierarchy,Map approved aliases through the region crosswalk,Each store maps to exactly one authorised region,Standardised all region aliases
Negative sales records representing valid customer returns,FactSalesWeekly,1111,"RecordType, negative unit and signed-value reconciliation",Retain legitimate returns rather than deleting negative values,"Returns reverse revenue, units, discount and cost consistently",Kept all valid returns in commercial totals
